module,trial,timestamp,x,y
faces,31,2588,704.64,422.28
faces,31,2638,696.96,421.2
faces,31,2671,681.6,422.28
faces,31,2704,672,421.2
faces,31,2738,664.32,421.2
faces,31,2771,648.96,419.04
faces,31,2804,685.44,442.8
faces,31,2838,696.96,439.56
faces,31,2872,643.2,419.04
faces,31,2921,620.16,468.72
faces,31,2955,668.16,797.04
faces,31,2988,647.04,846.72
faces,31,3038,656.64,834.84
faces,31,3071,677.76,829.44
faces,31,3105,677.76,828.36
faces,31,3139,683.52,827.28
faces,31,3172,695.04,822.96
faces,31,3205,677.76,794.88
faces,31,3239,666.24,778.68
faces,31,3273,672,773.28
faces,31,3322,691.2,777.6
faces,31,3355,700.8,776.52
faces,31,3391,708.48,774.36
faces,31,3439,718.08,771.12
faces,31,3472,725.76,767.88
faces,31,3505,735.36,758.16
faces,31,3539,741.12,753.84
faces,31,3573,746.88,747.36
faces,31,3606,750.72,740.88
faces,31,3639,754.56,734.4
faces,31,3689,756.48,727.92
faces,31,3722,758.4,720.36
faces,31,3755,760.32,718.2
faces,31,3806,764.16,718.2
faces,31,3839,769.92,726.84
faces,31,3873,777.6,729
faces,31,3906,783.36,727.92
faces,31,3939,789.12,727.92
faces,31,3973,796.8,727.92
faces,31,4006,802.56,727.92
faces,31,4039,808.32,725.76
faces,31,4089,814.08,725.76
faces,31,4122,821.76,725.76
faces,31,4156,825.6,726.84
faces,31,4207,835.2,730.08
faces,31,4239,840.96,734.4
faces,31,4274,848.64,738.72
faces,31,4306,856.32,745.2
faces,31,4340,862.08,750.6
faces,31,4373,867.84,756
faces,31,4407,869.76,761.4
faces,31,4440,869.76,766.8
faces,31,4490,867.84,771.12
faces,31,4523,864,772.2
faces,31,4573,860.16,772.2
faces,31,4607,860.16,766.8
faces,32,0,871.68,614.52
faces,32,6,865.92,604.8
faces,32,39,864,601.56
faces,32,71,862.08,603.72
faces,32,105,860.16,610.2
faces,32,139,858.24,619.92
faces,32,172,858.24,626.4
faces,32,205,858.24,632.88
faces,32,255,856.32,637.2
faces,32,289,858.24,643.68
faces,32,323,862.08,650.16
faces,32,373,867.84,657.72
faces,32,405,873.6,664.2
faces,32,439,883.2,669.6
faces,32,473,892.8,659.88
faces,32,505,1013.76,402.84
faces,32,539,990.72,347.76
faces,32,573,981.12,320.76
faces,32,606,973.44,300.24
faces,32,655,963.84,288.36
faces,32,690,942.72,257.04
faces,32,739,925.44,247.32
faces,32,772,645.12,243
faces,32,806,543.36,250.56
faces,32,839,468.48,249.48
faces,32,873,462.72,241.92
faces,32,906,453.12,239.76
faces,32,940,445.44,237.6
faces,32,973,433.92,236.52
faces,32,1008,426.24,236.52
faces,32,1056,418.56,250.56
faces,32,1089,408.96,261.36
faces,32,1141,416.64,276.48
faces,32,1173,420.48,292.68
faces,32,1206,420.48,301.32
faces,32,1239,428.16,308.88
faces,32,1273,752.64,335.88
faces,32,1307,794.88,332.64
faces,32,1340,810.24,331.56
faces,32,1373,817.92,332.64
faces,32,1425,823.68,332.64
faces,32,1457,831.36,332.64
faces,32,1490,856.32,336.96
faces,32,1540,888.96,343.44
faces,32,1574,906.24,348.84
faces,32,1608,917.76,351
faces,32,1640,927.36,354.24
faces,32,1673,940.8,358.56
faces,32,1707,965.76,365.04
faces,32,1740,906.24,348.84
faces,32,1774,1169.28,610.2
faces,32,1824,925.44,626.4
faces,32,1857,902.4,707.4
faces,32,1908,912,700.92
faces,32,1940,902.4,713.88
faces,32,1974,904.32,717.12
faces,32,2007,904.32,719.28
faces,32,2040,906.24,719.28
faces,32,2074,904.32,721.44
faces,32,2108,898.56,722.52
faces,32,2141,890.88,725.76
faces,32,2174,656.64,773.28
faces,32,2224,568.32,799.2
faces,32,2257,501.12,833.76
faces,32,2309,495.36,824.04
faces,32,2374,514.56,814.32
faces,32,2407,518.4,817.56
faces,32,2441,514.56,813.24
faces,32,2475,516.48,807.84
faces,32,2507,520.32,803.52
faces,32,2541,522.24,802.44
faces,32,2575,526.08,799.2
faces,32,2624,529.92,786.24
faces,32,2657,537.6,776.52
faces,32,2710,558.72,772.2
faces,32,2774,552.96,771.12
faces,32,2808,556.8,765.72
faces,32,2842,560.64,760.32
faces,32,2874,564.48,759.24
faces,32,2908,570.24,754.92
faces,32,2941,574.08,749.52
faces,32,2993,585.6,743.04
faces,32,3025,602.88,723.6
faces,32,3077,658.56,577.8
faces,32,3143,641.28,476.28
faces,32,3176,625.92,452.52
faces,32,3209,620.16,442.8
faces,32,3242,620.16,435.24
faces,32,3275,618.24,429.84
faces,32,3309,608.64,425.52
faces,32,3342,608.64,420.12
faces,32,3391,610.56,412.56
faces,32,3425,602.88,403.92
faces,32,3475,600.96,398.52
faces,32,3508,593.28,387.72
faces,32,3542,587.52,383.4
faces,32,3575,583.68,382.32
faces,32,3609,581.76,385.56
faces,32,3642,581.76,387.72
faces,32,3676,579.84,386.64
faces,32,3709,579.84,388.8
faces,32,3742,585.6,390.96
faces,32,3792,975.36,395.28
faces,32,3825,1008,387.72
faces,32,3875,1021.44,381.24
faces,32,3908,1029.12,379.08
faces,32,3942,1034.88,376.92
faces,32,3975,1040.64,373.68
faces,32,4009,1050.24,372.6
faces,32,4042,1057.92,371.52
faces,32,4076,1096.32,393.12
faces,32,4110,1119.36,401.76
faces,32,4143,1130.88,408.24
faces,32,4192,1138.56,411.48
faces,32,4242,1146.24,414.72
faces,32,4276,1157.76,417.96
faces,32,4310,1180.8,423.36
faces,32,4343,1192.32,427.68
faces,32,4376,1198.08,426.6
faces,32,4409,1198.08,427.68
faces,32,4443,1203.84,429.84
faces,32,4476,1203.84,433.08
faces,32,4510,1205.76,434.16
faces,32,4559,1232.64,437.4
faces,32,4594,1238.4,436.32
faces,32,4643,1248,434.16
faces,33,0,875.52,790.56
faces,33,0,814.08,832.68
faces,33,43,794.88,840.24
faces,33,76,791.04,833.76
faces,33,112,791.04,822.96
faces,33,145,791.04,808.92
faces,33,178,792.96,798.12
faces,33,210,794.88,786.24
faces,33,244,794.88,776.52
faces,33,293,856.32,505.44
faces,33,327,881.28,422.28
faces,33,360,900.48,338.04
faces,33,410,871.68,276.48
