ts,x,y
10823,958,356
10839,952,356
10860,953,355
10880,954,354
10901,955,357
10925,958,358
10944,958,359
10959,957,362
10976,956,365
11002,953,365
11022,951,367
11037,948,370
11059,951,369
11085,952,368
11102,952,365
11124,948,363
11145,948,364
11159,949,366
11180,945,369
11199,947,370
11221,948,366
11236,949,361
11261,951,354
11278,952,355
11305,954,361
11315,958,364
11336,958,360
11364,954,358
11383,951,356
11405,950,356
11415,950,355
11445,952,353
11464,956,353
11484,954,347
11497,956,347
11521,958,348
11544,959,349
11560,959,349
11578,958,352
11605,960,353
11623,962,352
11639,962,350
11656,962,349
11676,960,353
11700,957,355
11718,954,356
11738,953,357
11765,951,357
11784,1029,366
11799,1278,386
11815,1523,407
11840,1656,432
11855,1745,445
11877,1801,430
11902,1823,418
11919,1829,411
11942,1825,404
11965,1828,403
11982,1844,399
11997,1844,402
12024,1845,405
12043,1845,406
12062,1841,402
12085,1840,399
12100,1836,406
12122,1835,403
12145,1832,412
12165,1830,412
12179,1832,401
12200,1833,398
12219,1834,401
12245,1834,400
12255,1827,396
12278,1828,393
12302,1821,395
12323,1822,398
12336,1827,395
12361,1829,392
12380,1827,395
12397,1824,400
12418,1826,400
12444,1829,408
12455,1828,405
12475,1822,408
12505,1818,417
12522,1803,404
12536,1799,402
12565,1794,398
12577,1790,399
12602,1784,392
12622,1780,391
12638,1768,389
12663,1763,393
12677,1758,391
12699,1760,387
12723,1768,384
12735,1777,384
12756,1781,383
12777,1786,388
12804,1790,385
12822,1782,384
12837,1777,373
12860,1778,365
12884,1777,362
12904,1776,364
12915,1775,366
12936,1776,361
12961,1781,357
12976,1784,357
13005,1788,360
13016,1791,356
13038,1793,362
13058,1804,367
13085,1810,375
13102,1809,378
13120,1810,383
13136,1810,382
13156,1812,410
13178,1821,414
13202,1822,408
13219,1825,397
13241,1819,395
13256,1817,395
13285,1817,393
13298,1820,382
13315,1819,375
13337,1815,375
13361,1809,380
13380,1804,384
13395,1803,384
13419,1804,386
13438,1805,385
13461,1804,384
13483,1805,382
13495,1809,384
13518,1809,384
13541,1815,387
13559,1821,391
13580,1828,390
13603,1824,393
13616,1823,392
13643,1814,394
13661,1813,396
13684,1814,396
13698,1817,390
13716,1813,387
13743,1812,388
13765,1813,382
13785,1809,379
13798,1806,369
13818,1805,366
13844,1805,371
13860,1807,370
13875,1813,374
13898,1812,374
13922,1810,372
13937,1805,374
13959,1799,378
13981,1799,378
14005,1799,377
14020,1683,398
14039,1175,514
14063,651,672
14078,350,797
14100,237,851
14124,183,892
14140,159,905
14163,123,919
14179,110,930
14203,105,927
14217,107,931
14242,116,937
14265,111,934
14281,99,928
14301,90,919
14321,88,912
14344,84,907
14355,83,905
14385,80,898
14395,80,894
14422,80,896
14436,78,894
14461,74,887
14477,72,884
14503,75,879
14518,78,882
14537,82,891
14558,94,921
14582,102,922
14602,106,920
14622,107,920
14642,111,922
14661,118,923
14677,117,921
14700,112,919
14716,109,917
14735,107,913
14760,106,907
14785,107,904
14804,107,901
14824,108,898
14835,107,901
14859,106,900
14882,95,881
14902,94,879
14917,96,872
14938,99,876
14961,103,881
14979,102,883
15001,99,886
15024,96,884
15044,95,883
15061,95,880
15076,96,878
15095,95,877
15121,99,882
15145,99,888
15163,99,895
15184,96,892
15200,94,899
15216,96,907
15244,95,913
15264,94,913
15285,92,912
15304,92,906
15324,95,900
15338,95,895
15361,95,892
15380,94,890
15397,97,889
15423,100,884
15442,102,881
15464,102,884
15479,101,885
15499,103,891
15517,103,894
15545,104,897
15558,119,905
15575,122,911
15597,123,913
15619,123,911
15641,124,915
15658,124,915
15677,119,911
15699,113,908
15720,110,907
15744,112,905
15765,110,908
15775,109,910
15798,105,909
15825,97,907
15835,95,906
15857,96,905
15878,89,897
15898,91,896
15924,94,898
15941,96,899
15957,98,896
15979,99,895
16004,101,899
16022,104,901
16042,105,906
16058,106,907
16080,105,908
16101,105,913
16121,107,915
16142,265,935
16162,475,956
16179,671,964
16197,757,961
16224,836,950
16243,884,948
16265,909,941
16276,924,930
16297,934,919
16324,941,915
16342,952,909
16356,961,899
16375,975,896
16396,979,893
16424,981,891
16438,981,889
16457,982,885
16475,985,885
16498,981,891
16520,980,887
16540,980,885
16558,984,880
16579,983,875
16599,978,870
16617,971,868
16635,971,867
16659,971,870
16680,973,874
16699,974,875
16716,977,879
16739,975,878
16756,974,874
16781,978,875
16801,980,871
16823,981,865
16842,984,865
16858,984,876
16882,990,878
16900,991,878
16918,992,875
16945,993,871
16960,995,872
16975,996,868
17002,997,858
17020,999,856
17043,996,852
17061,998,853
17083,998,853
17100,1001,851
17119,1004,847
17137,1004,847
17159,1003,843
17184,1005,843
17205,1003,872
17216,1000,924
17239,1000,936
17255,996,940
17284,993,933
17295,993,929
17317,995,916
17339,994,900
17359,986,886
17376,983,886
17397,983,888
17418,982,884
17440,983,882
17458,984,878
17485,984,879
17504,983,882
17523,986,874
17542,985,868
17560,984,867
17581,989,863
17596,990,859
17616,992,849
17638,992,841
17658,993,831
17677,994,827
17698,993,823
17725,994,822
17735,995,826
17759,999,827
17777,999,841
17805,998,847
17824,997,847
17844,999,847
17862,1003,848
17881,1002,837
17896,1001,836
17923,1001,834
17940,998,842
17961,998,846
17984,993,855
18004,994,865
18016,995,870
18044,995,871
18062,995,870
18084,998,862
18095,1000,854
18121,1001,852
18143,1004,849
18156,1002,847
18185,998,847
18202,998,850
18222,1000,853
18242,1001,852
18258,998,854
18277,994,862
18295,992,872
18320,992,872
18345,995,870
18361,998,872
18382,997,880
18395,995,882
18415,996,886
18439,998,888
18463,1071,891
18480,1250,875
18497,1494,876
18520,1621,868
18541,1715,859
18556,1758,846
18582,1797,836
18603,1798,838
18619,1798,839
18636,1796,839
18659,1795,840
18678,1795,839
18696,1793,832
18720,1794,830
18737,1798,820
18762,1798,817
18784,1803,811
18797,1804,811
18823,1804,820
18841,1806,829
18862,1809,837
18875,1812,841
18896,1811,837
18919,1809,841
18944,1805,843
18957,1806,845
18979,1805,839
19002,1807,841
19019,1808,847
19039,1816,845
19058,1815,845
19081,1813,845
19103,1813,851
19115,1811,859
19145,1812,857
19158,1815,850
19184,1814,850
19201,1810,855
19218,1812,856
19238,1817,854
19259,1817,854
19281,1813,856
19300,1809,857
19320,1811,865
19345,1810,867
19361,1810,868
19383,1809,871
19396,1794,875
19421,1793,876
19435,1799,873
19456,1801,868
19480,1799,868
19502,1795,867
19517,1793,864
19538,1790,863
19560,1797,852
19575,1802,841
19602,1803,846
19618,1804,849
19635,1805,850
19658,1807,848
19679,1808,851
19701,1804,851
19719,1802,846
19741,1806,837
19755,1806,835
19780,1804,836
19801,1801,835
19824,1810,829
19836,1819,827
19861,1820,825
19883,1824,823
19902,1824,818
19922,1825,821
19937,1823,820
19965,1820,821
19978,1815,836
19996,1813,854
20017,1815,855
20035,1816,855
20059,1815,847
20084,1813,846
20100,1806,842
20121,1802,837
20136,1804,820
20160,1813,814
20178,1813,819
20196,1813,822
20223,1812,822
